Title,redump_name,serial,MCPFile,EMUFile,PSPSerial,Language,Developer,Genre,Publisher,Release_Date,Region,uuid,Filename
Cosmowarrior Zero,Cosmowarrior Zero (Japan),SLPM-86484,SLPM-86484-1.mcd,SLPM-86484_1.mcd,SLPM86484,Japanese,Taito,Action / Shooter,Taito,5/18/2000,NTSC-J,0000-03-21-15-58-00-00,
Countdown Vampires (Disc 1),Countdown Vampires (Japan) (Disc 1),SLPS-02504,SLPS-02504-1.mcd,SLPS-02504_1.mcd,SLPS02504,Japanese,Polygon Magic,Survival Horror,Bandai,12/22/1999,NTSC-J,1999-11-17-06-30-00-00,
Countdown Vampires (Disc 2),Countdown Vampires (Japan) (Disc 2),SLPS-02505,SLPS-02505-1.mcd,SLPS-02505_1.mcd,SLPS02505,Japanese,Polygon Magic,Survival Horror,Bandai,12/22/1999,NTSC-J,1999-11-17-06-30-00-00,
Countdown Vampires (Disc 1),Countdown Vampires (USA) (Disc 1),SLUS-00898,SLUS-00898-1.mcd,SLUS-00898_1.mcd,SLUS00898,English,Polygon Magic,Survival Horror,Bandai,1/8/2000,NTSC-U,0000-04-14-13-30-00-00,
Countdown Vampires (Disc 2),Countdown Vampires (USA) (Disc 2),SLUS-01199,SLUS-01199-1.mcd,SLUS-01199_1.mcd,SLUS01199,English,Polygon Magic,Survival Horror,Bandai,1/8/2000,NTSC-U,0000-04-14-13-30-00-00,
Coupe du Monde 98,Coupe du Monde 98 (France),SLES-01266,SLES-01266-1.mcd,SLES-01266_1.mcd,SLES01266,French,Electronic Arts,Soccer,Electronic Arts,5/22/1998,PAL,1998-04-11-18-26-45-00,
Courier Crisis: The Saga of the Modern Fatalist,"Courier Crisis - The Saga of the Modern Fatalist (Europe) (En,Fr,De,It)",SLES-00326,SLES-00326-1.mcd,SLES-00326_1.mcd,SLES00326,English / French / German / Italian,New Level Software,Action,BMG Interactive Entertainment,11/1/1997,PAL,1997-09-15-08-50-00-00,
Courier Crisis: The Saga of the Modern Fatalist,Courier Crisis - The Saga of the Modern Fatalist (Japan),SLPS-01128,SLPS-01128-1.mcd,SLPS-01128_1.mcd,SLPS01128,Japanese,New Level Software,Action,BMG Interactive Entertainment,2/19/1998,NTSC-J,1997-12-02-11-50-25-00,
Courier Crisis: The Saga of the Modern Fatalist,Courier Crisis - The Saga of the Modern Fatalist (USA),SLUS-00442,SLUS-00442-1.mcd,SLUS-00442_1.mcd,SLUS00442,English,New Level Software,Action,GT Interactive,11/30/1997,NTSC-U,1997-09-19-12-25-02-00,
Covert Ops: Nuclear Dawn (Disc 1),Covert Ops - Nuclear Dawn (USA) (Disc 1),SLUS-01151,SLUS-01151-1.mcd,SLUS-01151_1.mcd,SLUS01151,English,Sugar & Rockets,Action / Adventure,Activision,3/16/2000,NTSC-U,0000-04-19-12-00-00-00,
Covert Ops: Nuclear Dawn (Disc 2),Covert Ops - Nuclear Dawn (USA) (Disc 2),SLUS-01157,SLUS-01157-1.mcd,SLUS-01157_1.mcd,SLUS01157,English,Sugar & Rockets,Action / Adventure,Activision,3/16/2000,NTSC-U,0000-04-19-12-00-00-00,
Cowboy Bebop,Cowboy Bebop (Japan),SLPS-01126,SLPS-01126-1.mcd,SLPS-01126_1.mcd,SLPS01126,Japanese,Capsule Records,Action / Shooter,Bandai,5/14/1998,NTSC-J,1997-12-18-16-00-00-00,
Crash Bandicoot: Warped,Crash Bandicoot - Warped (USA),SCUS-94244,SCUS-94244-1.mcd,SCUS-94244_1.mcd,SCUS94244,English,"Naughty Dog, Inc",Action / Platformer,Sony,11/15/1998,NTSC-U,1998-10-11-13-22-12-00,
Crash Bandicoot: Warped (Demo),Crash Bandicoot - Warped (USA) (Demo),SCUS-94289,SCUS-94289-1.mcd,SCUS-94289_1.mcd,SCUS94289,English,N/A,N/A,N/A,N/A,NTSC-U,1998-07-29-10-21-02-33,
Crash Bandicoot (EDC),Crash Bandicoot (Europe) (EDC),SCES-00344,SCES-00344-1.mcd,SCES-00344_1.mcd,SCES00344,English,"Naughty Dog, Inc",Action / Platformer,Sony,11/15/1996,PAL,1996-02-29-19-02-01-00,
Crash Bandicoot (EDC),"Crash Bandicoot (Europe, Australia)",SCES-00344,SCES-00344-1.mcd,SCES-00344_1.mcd,SCES00344,English,"Naughty Dog, Inc",Action / Platformer,Sony,11/15/1996,PAL,1996-02-29-19-02-01-00,
Crash Bandicoot,"Crash Bandicoot (Japan, Asia)",SCPS-10031,SCPS-10031-1.mcd,SCPS-10031_1.mcd,SCPS10031,Japanese,"Naughty Dog, Inc",Action / Platformer,Sony,12/6/1996,NTSC-J,1996-09-06-23-15-44-00,
Crash Bandicoot,Crash Bandicoot (USA),SCUS-94900,SCUS-94900-1.mcd,SCUS-94900_1.mcd,SCUS94900,English,"Naughty Dog, Inc",Action / Platformer,Sony,9/9/1996,NTSC-U,1996-02-29-19-02-01-00,
Crash Bandicoot 2: Cortex no Gyakushuu!,"Crash Bandicoot 2 - Cortex no Gyakushuu! (Japan, Asia)",SCPS-10047,SCPS-10047-1.mcd,SCPS-10047_1.mcd,SCPS10047,Japanese,"Naughty Dog, Inc",Action / Platformer,Sony,12/18/1997,NTSC-J,1996-02-29-19-02-01-00,
Crash Bandicoot 2: Cortex no Gyakushuu!,Crash Bandicoot 2 - Cortex no Gyakushuu! (Japan) (Demo),PCPX-96098,PCPX-96098-1.mcd,PCPX-96098_1.mcd,PCPX96098,Japanese,N/A,N/A,N/A,N/A,NTSC-J,1997-11-04-12-23-05-00,
Crash Bandicoot 2: Cortex Strikes Back,"Crash Bandicoot 2 - Cortex Strikes Back (Europe) (En,Fr,De,Es,It)",SCES-00967,SCES-00967-1.mcd,SCES-00967_1.mcd,SCES00967,English / French / German / Italian / Spanish,"Naughty Dog, Inc",Action / Platformer,Sony,12/15/1997,PAL,1997-10-29-09-21-00-00,
Crash Bandicoot 2: Cortex Strikes Back,"Crash Bandicoot 2 - Cortex Strikes Back (Europe, Australia) (En,Fr,De,Es,It) (EDC)",SCES-00967,SCES-00967-1.mcd,SCES-00967_1.mcd,SCES00967,English / French / German / Italian / Spanish,"Naughty Dog, Inc",Action / Platformer,Sony,12/15/1997,PAL,1997-10-29-09-21-00-00,
Crash Bandicoot 2: Cortex Strikes Back,Crash Bandicoot 2 - Cortex Strikes Back (USA),SCUS-94154,SCUS-94154-1.mcd,SCUS-94154_1.mcd,SCUS94154,English,"Naughty Dog, Inc",Action / Platformer,Sony,10/15/1997,NTSC-U,1996-02-29-19-02-01-00,
Crash Bandicoot 3: Buttobi! Sekai Isshuu,"Crash Bandicoot 3 - Buttobi! Sekai Isshuu (Japan, Asia)",SCPS-10073,SCPS-10073-1.mcd,SCPS-10073_1.mcd,SCPS10073,Japanese,"Naughty Dog, Inc",Action / Platformer,Sony,12/17/1998,NTSC-J,1998-11-19-15-59-58-00,
Crash Bandicoot 3: Buttobi! Sekai Isshuu,Crash Bandicoot 3 - Buttobi! Sekai Isshuu (Japan) (Demo),PAPX-90070,PAPX-90070-1.mcd,PAPX-90070_1.mcd,PAPX90070,Japanese,N/A,N/A,N/A,N/A,NTSC-J,1998-10-21-14-43-17-00,
Crash Bandicoot 3: Warped,"Crash Bandicoot 3 - Warped (Europe, Australia) (En,Fr,De,Es,It)",SCES-01420,SCES-01420-1.mcd,SCES-01420_1.mcd,SCES01420,English / French / German / Italian / Spanish,"Naughty Dog, Inc",Action / Platformer,Sony,12/11/1998,PAL,1998-10-28-13-22-11-00,
Crash Bandicoot Carnival,Crash Bandicoot Carnival (Japan),SCPS-10140,SCPS-10140-1.mcd,SCPS-10140_1.mcd,SCPS10140,Japanese,Eurocom Developments,Action / Mini Games,Sony,12/14/2000,NTSC-J,0000-11-16-07-01-18-15,
Crash Bandicoot Carnival,Crash Bandicoot Carnival (Japan) (Demo),PCPX-96202,PCPX-96202-1.mcd,PCPX-96202_1.mcd,PCPX96202,Japanese,N/A,N/A,N/A,N/A,NTSC-J,0000-10-10-19-35-40-12,
Crash Bandicoot Racing,"Crash Bandicoot Racing (Japan, Asia)",SCPS-10118,SCPS-10118-1.mcd,SCPS-10118_1.mcd,SCPS10118,Japanese,Naughty Dog,Racing / Driving,Sony,12/16/1999,NTSC-J,1999-11-21-01-00-00-00,
Crash Bandicoot Racing,Crash Bandicoot Racing (Japan) (Demo),PCPX-96183,PCPX-96183-1.mcd,PCPX-96183_1.mcd,PCPX96183,Japanese,N/A,N/A,N/A,N/A,NTSC-J,1999-10-05-01-00-00-00,
Crash Bash & Spyro: Year of the Dragon (Demo),Crash Bash & Spyro - Year of the Dragon (USA) (Demo),SCUS-94654,SCUS-94654-1.mcd,SCUS-94654_1.mcd,SCUS94654,English,N/A,N/A,N/A,N/A,NTSC-U,2001-06-01-13-19-35-88,
Crash Bash,"Crash Bash (Europe) (En,Fr,De,Es,It)",SCES-02834,SCES-02834-1.mcd,SCES-02834_1.mcd,SCES02834,English / French / German / Italian / Spanish,Eurocom Developments,Action / Mini Games,Sony,12/1/2000,PAL,0000-10-23-13-49-09-61,
Crash Bash,Crash Bash (USA),SCUS-94570,SCUS-94570-1.mcd,SCUS-94570_1.mcd,SCUS94570,English,Eurocom Developments,Action / Mini Games,Sony,11/10/2000,NTSC-U,0000-10-09-18-30-33-03,
Crash Bash (Demo),Crash Bash (USA) (Demo),SCUS-94616,SCUS-94616-1.mcd,SCUS-94616_1.mcd,SCUS94616,English,N/A,N/A,N/A,N/A,NTSC-U,0000-08-21-12-23-47-51,
Crazy Climber 2000,Crazy Climber 2000 (Japan),SLPS-02582,SLPS-02582-1.mcd,SLPS-02582_1.mcd,SLPS02582,Japanese,Nichibutsu,Action,"Nihon Bussan Co., Ltd",2/3/2000,NTSC-J,1999-11-15-00-00-00-00,
Creative Journey,Creative Journey (USA),LSP-905109,LSP-905109-1.mcd,LSP-905109_1.mcd,LSP905109,English,Lightspan,Adventure / Educational,Lightspan,1996,NTSC-U,1999-12-07-23-37-20-00,
Creative Voyage,Creative Voyage (USA),LSP-907097,LSP-907097-1.mcd,LSP-907097_1.mcd,LSP907097,English,Lightspan,Adventure / Educational,Lightspan,1996,NTSC-U,1999-11-05-13-50-26-00,
Creature Shock (Disc 1),Creature Shock (Japan) (Disc 1),SLPS-00120,SLPS-00120-1.mcd,SLPS-00120_1.mcd,SLPS00120,Japanese,Argonaut Games,Action / First person Shooter,Data East,8/23/1996,NTSC-J,1995-12-15-13-14-37-00,
Creature Shock (Disc 2),Creature Shock (Japan) (Disc 2),SLPS-00121,SLPS-00121-1.mcd,SLPS-00121_1.mcd,SLPS00121,Japanese,Argonaut Games,Action / First person Shooter,Data East,8/23/1996,NTSC-J,1995-12-15-13-14-37-00,
Creatures: Raised in Space,"Creatures - Raised in Space (Europe) (En,Fr,De,Es,It)",SLES-04111,SLES-04111-1.mcd,SLES-04111_1.mcd,SLES04111,English / French / German / Italian / Spanish,Elo Interactive Media,Breeding / Strategy / Simulation,Play it,5/14/2003,PAL,2003-11-24-17-02-29-00,
Creatures: Raised in Space,Creatures - Raised in Space (USA),SLUS-01553,SLUS-01553-1.mcd,SLUS-01553_1.mcd,SLUS01553,English,Elo Interactive Media,Breeding / Strategy / Simulation,Conspiracy Entertainment,5/14/2003,NTSC-U,2003-04-07-13-26-11-00,
Creatures,"Creatures (Europe) (En,Fr,De,Es,It)",SLES-03690,SLES-03690-1.mcd,SLES-03690_1.mcd,SLES03690,English / French / German / Italian / Spanish,Elo Interactive Media,Breeding / Strategy / Simulation,Conspiracy Entertainment,1/4/2002,PAL,2001-11-09-23-40-30-00,
Creatures,Creatures (USA),SLUS-01438,SLUS-01438-1.mcd,SLUS-01438_1.mcd,SLUS01438,English,Elo Interactive Media,Breeding / Strategy / Simulation,Conspiracy Entertainment,5/18/2002,NTSC-U,2002-01-21-14-00-00-00,
Cricket 2000,Cricket 2000 (Europe),SLES-02495,SLES-02495-1.mcd,SLES-02495_1.mcd,SLES02495,English,Krisalis Software Ltd,Sports / Cricket,Electronic Arts,3/24/2000,PAL,0000-03-01-12-37-22-00,
Crime Crackers,Crime Crackers (Japan),SCPS-10003,SCPS-10003-1.mcd,SCPS-10003_1.mcd,SCPS10003,Japanese,Media Vision Entertainment,Action / Gun / RPG,Sony,12/3/1994,NTSC-J,1994-10-31-10-00-00-00,
Crime Crackers 2,Crime Crackers 2 (Japan),SCPS-10037,SCPS-10037-1.mcd,SCPS-10037_1.mcd,SCPS10037,Japanese,Media Vision Entertainment,Action / Gun / RPG,Sony,11/27/1997,NTSC-J,1997-09-10-17-00-00-00,
Crime Killer (Demo),Crime Killer (Europe) (Demo),SLED-01085,SLED-01085-1.mcd,SLED-01085_1.mcd,SLED01085,English,N/A,N/A,N/A,N/A,PAL,1997-12-10-11-04-14-00,
Crime Killer,"Crime Killer (Europe) (En,Fr,De,Es,It)",SLES-00954,SLES-00954-1.mcd,SLES-00954_1.mcd,SLES00954,English / French / German / Italian / Spanish,Pixelogic,Action / Driving / Shooter,Interplay,1/6/1998,PAL,1998-05-27-14-20-05-00,
Crime Killer (Demo),Crime Killer (Germany) (Demo),SLED-01305,SLED-01305-1.mcd,SLED-01305_1.mcd,SLED01305,English,N/A,N/A,N/A,N/A,PAL,1998-04-09-13-35-56-00,
Crime Killer,Crime Killer (USA),SLUS-00576,SLUS-00576-1.mcd,SLUS-00576_1.mcd,SLUS00576,English,Pixelogic,Action / Driving / Shooter,Interplay,6/30/1998,NTSC-U,1998-06-09-11-26-40-00,
Crime Killer (Demo),Crime Killer (USA) (Demo),SLUS-90020,SLUS-90020-1.mcd,SLUS-90020_1.mcd,SLUS90020,English,N/A,N/A,N/A,N/A,NTSC-U,1998-04-02-13-52-52-00,
Crisis Beat,Crisis Beat (Europe),SLES-02793,SLES-02793-1.mcd,SLES-02793_1.mcd,SLES02793,English,Soft Machine,Beat'em Up,Studio 3,8/18/2000,PAL,0000-04-20-08-30-00-00,
Crisis Beat,Crisis Beat (Japan),SLPS-01430,SLPS-01430-1.mcd,SLPS-01430_1.mcd,SLPS01430,Japanese,Soft Machine,Beat'em Up,Bandai,6/18/1998,NTSC-J,1998-04-01-00-00-00-00,
Crisis City,Crisis City (Japan),SLPS-01269,SLPS-01269-1.mcd,SLPS-01269_1.mcd,SLPS01269,Japanese,Takara,Action / Shooter,Takara,6/4/1998,NTSC-J,1998-03-05-11-30-00-00,
Critical Blow,Critical Blow (Japan),SLPS-01044,SLPS-01044-1.mcd,SLPS-01044_1.mcd,SLPS01044,Japanese,Racdym,Fighting,Banpresto,4/12/1997,NTSC-J,1997-09-24-10-00-00-00,
Critical Depth,Critical Depth (Europe),SLES-00136,SLES-00136-1.mcd,SLES-00136_1.mcd,SLES00136,English,Singletrac,Action / Shooter,GT Interactive,12/1/1997,PAL,1997-10-28-15-34-46-00,
Critical Depth,Critical Depth (USA),SLUS-00428,SLUS-00428-1.mcd,SLUS-00428_1.mcd,SLUS00428,English,Singletrac,Action / Shooter,GT Interactive,11/22/1997,NTSC-U,1997-10-16-02-08-48-00,
Criticom: The Critical Combat,Criticom - The Critical Combat (Japan),SLPS-00229,SLPS-00229-1.mcd,SLPS-00229_1.mcd,SLPS00229,English,Kronos Digital Entertainment,Fighting,Vic Tokai,10/4/1996,NTSC-J,1995-09-25-08-43-26-00,
Criticom,Criticom (Europe),SLES-00196,SLES-00196-1.mcd,SLES-00196_1.mcd,SLES00196,English,Kronos Digital Entertainment,Fighting,Vic Tokai,3/15/1996,PAL,1995-09-25-08-43-26-00,
Criticom,Criticom (USA),SLUS-00046,SLUS-00046-1.mcd,SLUS-00046_1.mcd,SLUS00046,English,Kronos Digital Entertainment,Fighting,Vic Tokai,11/15/1995,NTSC-U,1995-09-25-08-43-26-00,
Croc: Legend of the Gobbos,Croc - Legend of the Gobbos (Europe),SLES-00593,SLES-00593-1.mcd,SLES-00593_1.mcd,SLES00593,English,Argonaut Games,Action / Platformer,Fox Interactive,9/15/1997,PAL,1997-08-13-11-01-56-00,
Croc: Legend of the Gobbos (Demo),Croc - Legend of the Gobbos (Europe) (Demo),SLED-00038,SLED-00038-1.mcd,SLED-00038_1.mcd,SLED00038,English,N/A,N/A,N/A,N/A,PAL,1997-09-18-11-01-56-00,
Croc: Legend of the Gobbos,Croc - Legend of the Gobbos (USA),SLUS-00530,SLUS-00530-1.mcd,SLUS-00530_1.mcd,SLUS00530,English,Argonaut Games,Action / Platformer,Fox Interactive,9/1/1997,NTSC-U,1997-08-04-10-02-58-00,
Croc 2 (Demo),Croc 2 (Europe) (Demo),SLED-02119,SLED-02119-1.mcd,SLED-02119_1.mcd,SLED02119,English,N/A,N/A,N/A,N/A,PAL,1999-05-12-19-00-00-00,
Croc 2,"Croc 2 (Europe) (En,Fr,De,Es,It,Nl,Sv)",SLES-02088,SLES-02088-1.mcd,SLES-02088_1.mcd,SLES02088,Dutch / English / French / German / Italian / Spanish / Swedish,Argonaut Games,Action / Platformer,Fox Interactive,8/3/1999,PAL,1999-07-13-11-53-58-00,
Croc 2,Croc 2 (USA),SLUS-00634,SLUS-00634-1.mcd,SLUS-00634_1.mcd,SLUS00634,English,Argonaut Games,Action / Platformer,Fox Interactive,8/15/1999,NTSC-U,1999-07-01-15-13-55-00,
Croc 2 (Demo),Croc 2 (USA) (Demo),SLUS-90056,SLUS-90056-1.mcd,SLUS-90056_1.mcd,SLUS90056,English,N/A,N/A,N/A,N/A,NTSC-U,1999-04-09-09-59-59-00,
Croc Adventure,Croc Adventure (Japan),SLPM-86310,SLPM-86310-1.mcd,SLPM-86310_1.mcd,SLPM86310,Japanese,Argonaut Games,Action / Platformer,KOEI,9/2/1999,NTSC-J,1999-07-15-00-00-00-00,
Croc Adventure,Croc Adventure (Japan) (Demo),SLPM-80473,SLPM-80473-1.mcd,SLPM-80473_1.mcd,SLPM80473,Japanese,N/A,N/A,N/A,N/A,NTSC-J,1999-07-14-00-00-00-00,
Croc! Pau-Pau Island,Croc! Pau-Pau Island (Japan),SLPS-01055,SLPS-01055-1.mcd,SLPS-01055_1.mcd,SLPS01055,Japanese,Argonaut Games,Action / Platformer,Media Quest,12/18/1997,NTSC-J,1997-11-12-00-50-00-00,
Croc! Pau-Pau Island,Croc! Pau-Pau Island (Japan) (Demo),SLPM-80173,SLPM-80173-1.mcd,SLPM-80173_1.mcd,SLPM80173,Japanese,N/A,N/A,N/A,N/A,NTSC-J,1997-09-24-12-15-00-00,
Croket! Kindan no Kinka Box!,Croket! Kindan no Kinka Box! (Japan),SLPM-87235,SLPM-87235-1.mcd,SLPM-87235_1.mcd,SLPM87235,Japanese,Konami,2D Fighting / Adventure,Konami,3/20/2003,NTSC-J,2003-02-09-00-00-00-00,
Cross Romance: Koi to Mahjong to Hanafuda to,Cross Romance - Koi to Mahjong to Hanafuda to (Japan),SLPS-00713,SLPS-00713-1.mcd,SLPS-00713_1.mcd,SLPS00713,Japanese,Nichibutsu (Nihon Bussan),Mahjong,Nichibutsu (Nihon Bussan),3/18/1997,NTSC-J,1997-02-10-19-19-00-00,
Cross Tantei Monogatari (Disc 1),Cross Tantei Monogatari (Japan) (Disc 1),SLPM-86280,SLPM-86280-1.mcd,SLPM-86280_1.mcd,SLPM86280,Japanese,WorkJam,Adventure,WorkJam,10/21/1999,NTSC-J,1999-09-06-00-00-00-00,
Cross Tantei Monogatari (Disc 2),Cross Tantei Monogatari (Japan) (Disc 2),SLPM-86281,SLPM-86281-1.mcd,SLPM-86281_1.mcd,SLPM86281,Japanese,WorkJam,Adventure,WorkJam,10/21/1999,NTSC-J,1999-09-06-00-00-00-00,
Cross Tantei Monogatari,Cross Tantei Monogatari (Japan) (Demo),SLPM-80461,SLPM-80461-1.mcd,SLPM-80461_1.mcd,SLPM80461,Japanese,N/A,N/A,N/A,N/A,NTSC-J,1999-06-22-12-00-00-00,
Cross Tantei Monogatari 1: Kouhen,Cross Tantei Monogatari 1 - Kouhen (Japan),SLPM-86639,SLPM-86639-1.mcd,SLPM-86639_1.mcd,SLPM86639,Japanese,WorkJam,Adventure,WorkJam,9/28/2000,NTSC-J,0000-06-30-00-00-00-00,
Cross Tantei Monogatari 1: Zenpen,Cross Tantei Monogatari 1 - Zenpen (Japan),SLPM-86638,SLPM-86638-1.mcd,SLPM-86638_1.mcd,SLPM86638,Japanese,WorkJam,Adventure,WorkJam,9/28/2000,NTSC-J,0000-06-30-00-00-00-00,
Crossroad Crisis,Crossroad Crisis (USA),SLUS-01342,SLUS-01342-1.mcd,SLUS-01342_1.mcd,SLUS01342,English,Success,Puzzle,A1 Games / Agetec,8/17/2001,NTSC-U,2001-06-25-00-00-00-00,
"Crow, The: City of Angels","Crow, The - City of Angels (Europe)",SLES-00279,SLES-00279-1.mcd,SLES-00279_1.mcd,SLES00279,English,"Gray Matter Studios, Inc",Action / Beat'em Up,"Acclaim Entertainment, Inc",4/10/1997,PAL,1997-03-03-00-00-00-00,
"Crow, The: City of Angels","Crow, The - City of Angels (Germany)",SLES-00648,SLES-00648-1.mcd,SLES-00648_1.mcd,SLES00648,English,"Gray Matter Studios, Inc",Action / Beat'em Up,"Acclaim Entertainment, Inc",6/10/1997,PAL,1997-03-03-00-00-00-00,
The Crow: City of Angels,"Crow, The - City of Angels (Japan)",SLPS-00769,SLPS-00769-1.mcd,SLPS-00769_1.mcd,SLPS00769,Japanese,"Gray Matter Studios, Inc",Action / Beat'em Up,"Acclaim Entertainment, Inc",4/25/1997,NTSC-J,1997-03-10-00-00-00-00,
"Crow, The: City of Angels","Crow, The - City of Angels (USA)",SLUS-00242,SLUS-00242-1.mcd,SLUS-00242_1.mcd,SLUS00242,English,"Gray Matter Studios, Inc",Action / Beat'em Up,"Acclaim Entertainment, Inc",2/28/1997,NTSC-U,1996-12-20-12-00-00-00,
The Crown Knights: Jaja-uma! Quartet: Mega Dream Destruction+,"Crown Knights, The - Jaja-uma! Quartet - Mega Dream Destruction+ (Japan)",SLPS-01558,SLPS-01558-1.mcd,SLPS-01558_1.mcd,SLPS01558,Japanese,Studio ox / ARTSCAPE,Tactical RPG / Card Battle,GMF,9/10/1998,NTSC-J,1998-04-08-20-35-00-00,
Crusader: No Remorse,Crusader - No Remorse (Europe),SLES-00587,SLES-00587-1.mcd,SLES-00587_1.mcd,SLES00587,English,Realtime Associates Inc,Action / Shooter,Electronic Arts,3/15/1997,PAL,1997-02-06-19-17-26-00,
Crusader: No Remorse,Crusader - No Remorse (France),SLES-00588,SLES-00588-1.mcd,SLES-00588_1.mcd,SLES00588,French,Realtime Associates Inc,Action / Shooter,Electronic Arts,3/15/1997,PAL,1997-02-11-18-22-34-00,
Crusader: No Remorse,Crusader - No Remorse (Germany),SLES-00589,SLES-00589-1.mcd,SLES-00589_1.mcd,SLES00589,German,Realtime Associates Inc,Action / Shooter,Electronic Arts,3/15/1997,PAL,1997-02-06-10-15-25-00,
Crusader: No Remorse,Crusader - No Remorse (USA),SLUS-00268,SLUS-00268-1.mcd,SLUS-00268_1.mcd,SLUS00268,English,Realtime Associates Inc,Action / Shooter,Origin Systems,12/31/1996,NTSC-U,1996-12-09-10-06-14-00,
Crusaders of Might and Magic,Crusaders of Might and Magic (Europe),SLES-02582,SLES-02582-1.mcd,SLES-02582_1.mcd,SLES02582,English,The 3DO Company,Action / Adventure,The 3DO Company,2/15/2000,PAL,1999-11-21-02-31-11-00,
Crusaders of Might and Magic,Crusaders of Might and Magic (France),SLES-02583,SLES-02583-1.mcd,SLES-02583_1.mcd,SLES02583,French,The 3DO Company,Action / Adventure,The 3DO Company,2/15/2000,PAL,0000-02-15-02-31-11-00,
Crusaders of Might and Magic,Crusaders of Might and Magic (Germany),SLES-02584,SLES-02584-1.mcd,SLES-02584_1.mcd,SLES02584,German,The 3DO Company,Action / Adventure,The 3DO Company,2/15/2000,PAL,0000-02-15-02-31-11-00,
Crusaders of Might and Magic,Crusaders of Might and Magic (Italy),SLES-02692,SLES-02692-1.mcd,SLES-02692_1.mcd,SLES02692,Italian,The 3DO Company,Action / Adventure,The 3DO Company,2/15/2000,PAL,0000-03-02-02-31-11-00,
Crusaders of Might and Magic,Crusaders of Might and Magic (Spain),SLES-02691,SLES-02691-1.mcd,SLES-02691_1.mcd,SLES02691,Spanish,The 3DO Company,Action / Adventure,The 3DO Company,2/15/2000,PAL,0000-03-02-02-31-11-00,
Crusaders of Might and Magic,Crusaders of Might and Magic (USA),SLUS-00799,SLUS-00799-1.mcd,SLUS-00799_1.mcd,SLUS00799,English,The 3DO Company,Action / Adventure,The 3DO Company,2/15/2000,NTSC-U,0000-01-28-02-31-11-00,
CRW: Counter Revolution War,CRW - Counter Revolution War (Japan),SLPS-00220,SLPS-00220-1.mcd,SLPS-00220_1.mcd,SLPS00220,Japanese,Natsu System,Tactical RPG,Acclaim,8/30/1996,NTSC-J,1996-06-05-01-59-41-00,
Crypt Killer,Crypt Killer (Europe),SLES-00292,SLES-00292-1.mcd,SLES-00292_1.mcd,SLES00292,English,Konami,Gun,Konami,5/15/1997,PAL,1997-01-20-16-45-14-00,
Crypt Killer,Crypt Killer (USA),SLUS-00335,SLUS-00335-1.mcd,SLUS-00335_1.mcd,SLUS00335,English,Konami,Gun,Konami,5/3/1997,NTSC-U,1997-01-07-16-44-19-00,
CT Special Forces: Back to Hell,"CT Special Forces - Back to Hell (Europe) (En,Fr,De,Es,It,Nl)",SLES-04123,SLES-04123-1.mcd,SLES-04123_1.mcd,SLES04123,English / French / German / Italian / Dutch / Spanish,Hip Games,Action / Shooter / Platformer,LSP,8/15/2004,PAL,2003-09-30-13-28-24-00,
CT Special Forces,"CT Special Forces (Europe) (En,Fr,De,Es,It,Nl)",SLES-03986,SLES-03986-1.mcd,SLES-03986_1.mcd,SLES03986,Dutch / English / French / German / Italian / Spanish,Hip Games,Action / Shooter / Platformer,LSP,2/23/2004,PAL,2002-11-12-19-26-37-00,
CT Special Forces 3: Bioterror,"CT Special Forces 3 - Bioterror (Europe) (En,Fr,De,Es,It,Nl)",SLES-04155,SLES-04155-1.mcd,SLES-04155_1.mcd,SLES04155,Dutch / English / French / German / Italian / Spanish,Hip Games,Action / Shooter / Platformer,LSP,12/15/2004,PAL,2004-03-26-15-20-00-00,
CTR: Crash Team Racing (EDC),"CTR - Crash Team Racing (Europe) (En,Fr,De,Es,It,Nl)",SCES-02105,SCES-02105-1.mcd,SCES-02105_1.mcd,SCES02105,Dutch / English / French / German / Italian / Spanish,Naughty Dog,Racing / Driving,Sony,11/1/1999,PAL,1999-10-22-00-00-00-00,
CTR: Crash Team Racing (EDC),"CTR - Crash Team Racing (Europe) (En,Fr,De,Es,It,Nl) (EDC)",SCES-02105,SCES-02105-1.mcd,SCES-02105_1.mcd,SCES02105,Dutch / English / French / German / Italian / Spanish,Naughty Dog,Racing / Driving,Sony,11/1/1999,PAL,1999-10-22-00-00-00-00,
CTR: Crash Team Racing,CTR - Crash Team Racing (USA),SCUS-94426,SCUS-94426-1.mcd,SCUS-94426_1.mcd,SCUS94426,English,Naughty Dog,Racing / Driving,Sony,10/1/1999,NTSC-U,1999-09-27-01-00-00-00,
CTR: Crash Team Racing (Demo),CTR - Crash Team Racing (USA) (Demo),SCUS-94459,SCUS-94459-1.mcd,SCUS-94459_1.mcd,SCUS94459,English,N/A,N/A,N/A,N/A,NTSC-U,1999-07-26-19-14-07-91,
Cubix Robots for Everyone: Race 'n Robots,Cubix Robots for Everyone - Race 'n Robots (Europe),SLES-03729,SLES-03729-1.mcd,SLES-03729_1.mcd,SLES03729,English,Blitz Games,Racing,The 3DO Company,11/9/2001,PAL,2002-01-22-10-20-00-00,
