Title,redump_name,serial,MCPFile,EMUFile,PSPSerial,Language,Developer,Genre,Publisher,Release_Date,Region,uuid,Filename
19-ji 03-pun: Ueno-hatsu Yakou Ressha,19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan),SLPS-01865,SLPS-01865-1.mcd,SLPS-01865_1.mcd,SLPS01865,Japanese,Visit,Adventure / Interactive movie,Visit,3/4/1999,NTSC-J,1999-01-27-21-00-00-00,
19-ji 03-pun: Ueno-hatsu Yakou Ressha,19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan) (Demo),SLPM-80181,SLPM-80181-1.mcd,SLPM-80181_1.mcd,SLPM80181,Japanese,N/A,N/A,N/A,N/A,NTSC-J,1998-12-07-19-10-54-00,
Driver: You Are the Wheelman / V-Rally: Championship Edition 2,Driver - You Are the Wheelman & V-Rally - Championship Edition 2 (Japan) (Demo),SLPS-02466,SLPS-02466-1.mcd,SLPS-02466_1.mcd,SLPS02466,Japanese,Spike,Driving / Racing,Spike,12/16/1999,NTSC-J,1999-11-02-23-59-59-00,
2002 FIFA World Cup,"2002 FIFA World Cup (Europe) (En,Sv)",SLES-03830,SLES-03830-1.mcd,SLES-03830_1.mcd,SLES03830,English / Swedish,EA Canada,Soccer,Electronic Arts,4/26/2002,PAL,2002-03-16-15-50-33-00,
2002 FIFA World Cup,2002 FIFA World Cup (France),SLES-03831,SLES-03831-1.mcd,SLES-03831_1.mcd,SLES03831,French,EA Canada,Soccer,Electronic Arts,4/26/2002,PAL,2002-03-16-15-50-33-00,
2002 FIFA World Cup,2002 FIFA World Cup (Germany),SLES-03832,SLES-03832-1.mcd,SLES-03832_1.mcd,SLES03832,German,EA Canada,Soccer,Electronic Arts,4/26/2002,PAL,2002-03-16-07-36-45-00,
2002 FIFA World Cup,2002 FIFA World Cup (Italy),SLES-03833,SLES-03833-1.mcd,SLES-03833_1.mcd,SLES03833,Italian,EA Canada,Soccer,Electronic Arts,4/26/2002,PAL,2002-03-16-15-50-33-00,
2002 FIFA World Cup,2002 FIFA World Cup (Spain),SLES-03834,SLES-03834-1.mcd,SLES-03834_1.mcd,SLES03834,Spanish,EA Canada,Soccer,Electronic Arts,4/26/2002,PAL,2002-03-16-15-50-33-00,
2002 FIFA World Cup,"2002 FIFA World Cup (USA) (En,Es)",SLUS-01449,SLUS-01449-1.mcd,SLUS-01449_1.mcd,SLUS01449,English / Spanish,EA Canada,Soccer,Electronic Arts,4/23/2002,NTSC-U,2002-03-08-20-06-59-00,
20-seiki Striker Retsuden: The 20th Century's Real Strikers,20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan),SLPS-02348,SLPS-02348-1.mcd,SLPS-02348_1.mcd,SLPS02348,Japanese,Crimson,Soccer,Virgin Interactive,2/10/2000,NTSC-J,1999-12-24-07-10-00-05,
2Xtreme,2Xtreme (Europe),SCES-00400,SCES-00400-1.mcd,SCES-00400_1.mcd,SCES00400,English,Sony,Sports / Racing,Sony Computer Entertainment,3/1/1997,PAL,1997-01-16-08-54-28-00,
2Xtreme,2Xtreme (USA),SCUS-94508,SCUS-94508-1.mcd,SCUS-94508_1.mcd,SCUS94508,English,Sony,Sports / Racing,Sony Computer Entertaiment,10/31/1996,NTSC-U,1996-10-16-11-11-09-00,
"3, 2, 1, Smurf! My First Racing Game","3, 2, 1, Smurf! My First Racing Game (Europe) (En,Fr,De,Es,It,Nl)",SLES-03120,SLES-03120-1.mcd,SLES-03120_1.mcd,SLES03120,Dutch / English / French / German / Italian / Spanish,Artificial Mind & Movement,Driving / Racing,Infogrames,3/29/2001,PAL,0000-10-31-16-49-52-00,
360 Three Sixty,"360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv)",SLES-02089,SLES-02089-1.mcd,SLES-02089_1.mcd,SLES02089,English / French / German / Italian / Spanish / Swedish,Smart Dog,Racing / Action / Shooter,Cryo Interactive,7/23/1999,PAL,1999-05-27-10-16-55-00,
3D Baseball: The Majors,3D Baseball - The Majors (Japan),SLPS-00693,SLPS-00693-1.mcd,SLPS-00693_1.mcd,SLPS00693,English,Crystal Dynamics,Baseball,BMG Interactive Entertainment,2/28/1997,NTSC-J,1997-01-14-19-00-00-00,
3D Baseball,3D Baseball (USA),SLUS-00066,SLUS-00066-1.mcd,SLUS-00066_1.mcd,SLUS00066,English,Crystal Dynamics,Baseball,Crystal Dynamics,10/31/1996,NTSC-U,1996-10-25-02-37-32-00,
3D Kakutou Tkool,3D Kakutou Tkool (Japan),SLPS-01434,SLPS-01434-1.mcd,SLPS-01434_1.mcd,SLPS01434,Japanese,ASCII Entertaiment,Constructing / Fighter,ASCII Entertaiment,7/30/1998,NTSC-J,1998-06-23-00-00-09-00,
3D Lemmings,3D Lemmings (Europe),SCES-00009,SCES-00009-1.mcd,SCES-00009_1.mcd,SCES00009,English,Clockwork Games Limited,Puzzle,Psygnosis,10/1/1995,PAL,1995-09-07-14-15-00-00,
3D Lemmings,3D Lemmings (Japan),SIPS-60002,SIPS-60002-1.mcd,SIPS-60002_1.mcd,SIPS60002,English,Clockwork Games Limited,Puzzle,Psygnosis,11/8/1996,NTSC-J,1996-03-04-14-00-00-00,
3D Lemmings,3D Lemmings (USA),SCUS-94601,SCUS-94601-1.mcd,SCUS-94601_1.mcd,SCUS94601,English,Clockwork Games Limited,Puzzle,Psygnosis,7/31/1995,NTSC-U,1995-09-20-14-14-00-00,
3D Mission Shooting: Finalist,3D Mission Shooting - Finalist (Japan),SLPS-00461,SLPS-00461-1.mcd,SLPS-00461_1.mcd,SLPS00461,English,Neon,Action / Shooter,Gaga Interactive,10/4/1996,NTSC-J,1996-08-04-04-20-12-00,
3D Shooting Tkool,3D Shooting Tkool (Japan),SLPS-00654,SLPS-00654-1.mcd,SLPS-00654_1.mcd,SLPS00654,Japanese,ASCII Entertaiment,Constructing / Shooter,ASCII Entertaiment,12/20/1996,NTSC-J,1996-11-13-14-15-13-00,
